Time,CORE_BOTTOM:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,8.806036E+03,0.000000E+00,6.207402E-01,0.000000E+00,5.866241E+03,0.000000E+00,4.138997E-01,0.000000E+00,5.439990E+03,0.000000E+00,3.838566E-01,2.045513E+03,6.695649E+02,8.223949E-02,4.730880E-02,1.476585E+03,4.433070E+02,5.934773E-02,3.132025E-02,2.116986E+03,7.419911E+02,8.510680E-02,5.242007E-02,1.476609E+03,6.771842E+02,5.934869E-02,4.776652E-02,0.000000E+00,4.358925E+02,0.000000E+00,3.074718E-02,2.124391E+01,4.857762E+02,8.540031E-04,3.429339E-02,0.000000E+00,6.931521E+02,0.000000E+00,4.896952E-02,2.130348E+01,8.073628E+02,8.563975E-04,5.691360E-02,4.333496E+02,8.026506E+02,1.742230E-02,5.670522E-02,3.970275E+02,5.309398E+02,1.597097E-02,3.750176E-02,4.785150E+02,8.723610E+02,1.924494E-02,6.160603E-02,3.970752E+02,7.674945E+02,1.597288E-02,5.412476E-02
00:30:00,0.000000E+00,9.031013E+03,0.000000E+00,6.365961E-01,0.000000E+00,6.022388E+03,0.000000E+00,4.245174E-01,0.000000E+00,5.545097E+03,0.000000E+00,3.908728E-01,2.343266E+03,6.627205E+02,9.418226E-02,4.671239E-02,1.667265E+03,4.390682E+02,6.700687E-02,3.094801E-02,2.412680E+03,7.324271E+02,9.697039E-02,5.162564E-02,1.667281E+03,6.770939E+02,6.700752E-02,4.772491E-02,0.000000E+00,4.367568E+02,0.000000E+00,3.078582E-02,5.244828E+01,4.785413E+02,2.108144E-03,3.373086E-02,6.863115E+00,6.751826E+02,2.765065E-04,4.759162E-02,5.251760E+01,8.203592E+02,2.110930E-03,5.782421E-02,6.041532E+02,7.964842E+02,2.428693E-02,5.614098E-02,5.361457E+02,5.275291E+02,2.156210E-02,3.718333E-02,6.598519E+02,8.702558E+02,2.653289E-02,6.134078E-02,5.362041E+02,7.799741E+02,2.156444E-02,5.497673E-02
00:45:00,0.000000E+00,9.174054E+03,0.000000E+00,6.466787E-01,0.000000E+00,6.143648E+03,0.000000E+00,4.330650E-01,0.000000E+00,5.620411E+03,0.000000E+00,3.961818E-01,2.559343E+03,6.374136E+02,1.028570E-01,4.492828E-02,1.801861E+03,4.249679E+02,7.241408E-02,2.995391E-02,2.625405E+03,7.131611E+02,1.055118E-01,5.026728E-02,1.801871E+03,6.701083E+02,7.241449E-02,4.723216E-02,1.995597E+01,3.856507E+02,8.030384E-04,2.718340E-02,9.671026E+01,4.707789E+02,3.887080E-03,3.318356E-02,4.419590E+01,6.528548E+02,1.776963E-03,4.601760E-02,9.679896E+01,8.204752E+02,3.890645E-03,5.783211E-02,7.935245E+02,7.870453E+02,3.189774E-02,5.547526E-02,6.867624E+02,5.248437E+02,2.761530E-02,3.699377E-02,8.592187E+02,8.672300E+02,3.454540E-02,6.112705E-02,6.868309E+02,7.815509E+02,2.761805E-02,5.508747E-02
01:00:00,0.000000E+00,9.269676E+03,0.000000E+00,6.534166E-01,0.000000E+00,6.303107E+03,0.000000E+00,4.443042E-01,0.000000E+00,5.744752E+03,0.000000E+00,4.049456E-01,2.730796E+03,6.477256E+02,1.097461E-01,4.565494E-02,1.910730E+03,4.306269E+02,7.678843E-02,3.035267E-02,2.795140E+03,7.209041E+02,1.123319E-01,5.081282E-02,1.910736E+03,6.627667E+02,7.678866E-02,4.671443E-02,5.615352E+01,4.043800E+02,2.257865E-03,2.850352E-02,1.510743E+02,4.726273E+02,6.072019E-03,3.331372E-02,8.943522E+01,6.573048E+02,3.595181E-03,4.633111E-02,1.511792E+02,8.128384E+02,6.076236E-03,5.729356E-02,9.486170E+02,8.040562E+02,3.812513E-02,5.667402E-02,7.774863E+02,5.343941E+02,3.124710E-02,3.766675E-02,1.009292E+03,8.814183E+02,4.056362E-02,6.212681E-02,7.775471E+02,7.799121E+02,3.124954E-02,5.497164E-02
01:15:00,0.000000E+00,9.353480E+03,0.000000E+00,6.593213E-01,0.000000E+00,6.419107E+03,0.000000E+00,4.524799E-01,0.000000E+00,5.825821E+03,0.000000E+00,4.106592E-01,2.872863E+03,6.422261E+02,1.154542E-01,4.526710E-02,2.001474E+03,4.262674E+02,8.043431E-02,3.004524E-02,2.936040E+03,7.138715E+02,1.179930E-01,5.031688E-02,2.001477E+03,6.495072E+02,8.043442E-02,4.577961E-02,1.046064E+02,4.005493E+02,4.205241E-03,2.823343E-02,2.143125E+02,4.682839E+02,8.613609E-03,3.300745E-02,1.515162E+02,6.503580E+02,6.090279E-03,4.584129E-02,2.144332E+02,8.018629E+02,8.618458E-03,5.651972E-02,1.041569E+03,8.068824E+02,4.186060E-02,5.687294E-02,8.494715E+02,5.353184E+02,3.413989E-02,3.773170E-02,1.105979E+03,8.827191E+02,4.444916E-02,6.221819E-02,8.495378E+02,7.723755E+02,3.414256E-02,5.444015E-02
01:30:00,0.000000E+00,9.429294E+03,0.000000E+00,6.646629E-01,0.000000E+00,6.521249E+03,0.000000E+00,4.596786E-01,0.000000E+00,5.893532E+03,0.000000E+00,4.154312E-01,2.995651E+03,6.334674E+02,1.203878E-01,4.464958E-02,2.081103E+03,4.195619E+02,8.363375E-02,2.957249E-02,3.058170E+03,7.033216E+02,1.229002E-01,4.957309E-02,2.081104E+03,6.340937E+02,8.363379E-02,4.469304E-02,1.674698E+02,3.944493E+02,6.731780E-03,2.780341E-02,2.845020E+02,4.624824E+02,1.143445E-02,3.259842E-02,2.263947E+02,6.415429E+02,9.099712E-03,4.521981E-02,2.846086E+02,7.888057E+02,1.143873E-02,5.559918E-02,1.165714E+03,8.064720E+02,4.684969E-02,5.684377E-02,9.231023E+02,5.339113E+02,3.709883E-02,3.763235E-02,1.226788E+03,8.805672E+02,4.930414E-02,6.206624E-02,9.231630E+02,7.623997E+02,3.710127E-02,5.373679E-02
01:45:00,0.000000E+00,9.519648E+03,0.000000E+00,6.710295E-01,0.000000E+00,6.631949E+03,0.000000E+00,4.674806E-01,0.000000E+00,5.969104E+03,0.000000E+00,4.207572E-01,3.106064E+03,6.261601E+02,1.248242E-01,4.413439E-02,2.153815E+03,4.135829E+02,8.655530E-02,2.915098E-02,3.168522E+03,6.940829E+02,1.273342E-01,4.892175E-02,2.153814E+03,6.197507E+02,8.655529E-02,4.368196E-02,2.422381E+02,3.908796E+02,9.736783E-03,2.755173E-02,3.428268E+02,4.581534E+02,1.377846E-02,3.229319E-02,3.129044E+02,6.353746E+02,1.257660E-02,4.478490E-02,3.429181E+02,7.770871E+02,1.378213E-02,5.477303E-02,1.260868E+03,8.077076E+02,5.067356E-02,5.693065E-02,9.828830E+02,5.333641E+02,3.950110E-02,3.759364E-02,1.320734E+03,8.799581E+02,5.307946E-02,6.202307E-02,9.829414E+02,7.531662E+02,3.950345E-02,5.308580E-02
02:00:00,0.000000E+00,9.605637E+03,0.000000E+00,6.770885E-01,0.000000E+00,6.734865E+03,0.000000E+00,4.747338E-01,0.000000E+00,6.036594E+03,0.000000E+00,4.255135E-01,3.207564E+03,6.170347E+02,1.289026E-01,4.349107E-02,2.221118E+03,4.063111E+02,8.925964E-02,2.863835E-02,3.270207E+03,6.831001E+02,1.314200E-01,4.814749E-02,2.221117E+03,6.046979E+02,8.925960E-02,4.262087E-02,3.279635E+02,3.863245E+02,1.318214E-02,2.723061E-02,3.969281E+02,4.531312E+02,1.595277E-02,3.193911E-02,4.033074E+02,6.283483E+02,1.620928E-02,4.428953E-02,3.970244E+02,7.646565E+02,1.595664E-02,5.389671E-02,1.344760E+03,8.071992E+02,5.404483E-02,5.689461E-02,1.035542E+03,5.315856E+02,4.161714E-02,3.746815E-02,1.403618E+03,8.776954E+02,5.641019E-02,6.186337E-02,1.035598E+03,7.429237E+02,4.161941E-02,5.236371E-02
02:15:00,0.000000E+00,9.688105E+03,0.000000E+00,6.828996E-01,0.000000E+00,6.831400E+03,0.000000E+00,4.815374E-01,0.000000E+00,6.097378E+03,0.000000E+00,4.297971E-01,3.303078E+03,6.074507E+02,1.327406E-01,4.281546E-02,2.285530E+03,3.986838E+02,9.184790E-02,2.810069E-02,3.366511E+03,6.714640E+02,1.352897E-01,4.732723E-02,2.285528E+03,5.898069E+02,9.184781E-02,4.157122E-02,4.039609E+02,3.815873E+02,1.623552E-02,2.689665E-02,4.443220E+02,4.479451E+02,1.785750E-02,3.157348E-02,4.733073E+02,6.212123E+02,1.902257E-02,4.378644E-02,4.444133E+02,7.521701E+02,1.786117E-02,5.301649E-02,1.420169E+03,8.062400E+02,5.707514E-02,5.682683E-02,1.082972E+03,5.294709E+02,4.352306E-02,3.731898E-02,1.478445E+03,8.747828E+02,5.941709E-02,6.165788E-02,1.083027E+03,7.324898E+02,4.352527E-02,5.162816E-02
02:30:00,0.000000E+00,9.768029E+03,0.000000E+00,6.885317E-01,0.000000E+00,6.923150E+03,0.000000E+00,4.880036E-01,0.000000E+00,6.152904E+03,0.000000E+00,4.337101E-01,3.395321E+03,5.976149E+02,1.364472E-01,4.212210E-02,2.345963E+03,3.908578E+02,9.427638E-02,2.754903E-02,3.458790E+03,6.596760E+02,1.389978E-01,4.649627E-02,2.345960E+03,5.752424E+02,9.427625E-02,4.054459E-02,4.733620E+02,3.770214E+02,1.902475E-02,2.657477E-02,4.876197E+02,4.428173E+02,1.959758E-02,3.121198E-02,5.449134E+02,6.142680E+02,2.190040E-02,4.329688E-02,4.877090E+02,7.399274E+02,1.960117E-02,5.215345E-02,1.489223E+03,8.050144E+02,5.985004E-02,5.674029E-02,1.126159E+03,5.271524E+02,4.525847E-02,3.715547E-02,1.546776E+03,8.717269E+02,6.216291E-02,6.144232E-02,1.126213E+03,7.222541E+02,4.526062E-02,5.090661E-02
