Time,CORE_BOTTOM:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,0.000000E+00,1.357499E+04,0.000000E+00,9.569055E-01,0.000000E+00,6.644170E+03,0.000000E+00,4.685914E-01,0.000000E+00,6.079458E+03,0.000000E+00,4.288133E-01,2.823074E+03,7.920364E+02,1.134719E-01,5.593527E-02,1.983132E+03,5.220171E+02,7.971102E-02,3.686178E-02,2.898854E+03,8.684073E+02,1.165181E-01,6.130813E-02,1.983142E+03,7.811330E+02,7.971141E-02,5.507580E-02,1.580294E+02,5.887378E+02,6.354221E-03,4.159668E-02,2.287072E+02,5.757241E+02,9.195613E-03,4.062512E-02,2.036523E+02,8.271203E+02,8.185203E-03,5.839038E-02,2.287675E+02,9.534116E+02,9.198042E-03,6.720286E-02,8.838643E+02,9.446999E+02,3.555062E-02,6.668808E-02,7.397426E+02,6.234271E+02,2.973782E-02,4.400230E-02,9.476184E+02,1.029553E+03,3.811196E-02,7.266246E-02,7.398117E+02,8.923173E+02,2.974058E-02,6.290632E-02
00:30:00,0.000000E+00,1.383368E+04,0.000000E+00,9.751310E-01,0.000000E+00,6.876194E+03,0.000000E+00,4.847018E-01,0.000000E+00,6.247648E+03,0.000000E+00,4.403953E-01,3.090341E+03,7.793253E+02,1.241974E-01,5.493119E-02,2.152450E+03,5.146980E+02,8.650406E-02,3.627869E-02,3.162914E+03,8.588117E+02,1.271139E-01,6.053371E-02,2.152452E+03,7.857846E+02,8.650414E-02,5.538577E-02,2.494412E+02,5.819583E+02,1.002815E-02,4.102061E-02,3.189789E+02,5.753195E+02,1.282370E-02,4.055240E-02,3.072894E+02,8.195917E+02,1.235048E-02,5.777050E-02,3.190538E+02,9.668929E+02,1.282672E-02,6.815271E-02,1.150285E+03,9.502663E+02,4.625795E-02,6.698028E-02,9.106619E+02,6.284599E+02,3.660218E-02,4.429739E-02,1.216852E+03,1.037655E+03,4.892951E-02,7.313986E-02,9.107208E+02,9.098259E+02,3.660453E-02,6.412916E-02
00:45:00,0.000000E+00,1.401018E+04,0.000000E+00,9.875702E-01,0.000000E+00,7.040096E+03,0.000000E+00,4.962551E-01,0.000000E+00,6.358302E+03,0.000000E+00,4.481952E-01,3.292446E+03,7.662334E+02,1.323180E-01,5.400798E-02,2.283260E+03,5.060442E+02,9.175987E-02,3.566843E-02,3.364301E+03,8.458635E+02,1.352056E-01,5.962058E-02,2.283259E+03,7.782648E+02,9.175980E-02,5.485531E-02,3.569910E+02,5.479792E+02,1.435067E-02,3.862536E-02,4.195334E+02,5.698755E+02,1.686503E-02,4.016848E-02,4.269884E+02,8.081458E+02,1.716127E-02,5.696345E-02,4.196226E+02,9.663791E+02,1.686863E-02,6.811615E-02,1.368822E+03,9.519894E+02,5.502398E-02,6.710124E-02,1.042276E+03,6.299723E+02,4.188945E-02,4.440365E-02,1.430039E+03,1.039154E+03,5.748153E-02,7.324494E-02,1.042324E+03,9.127171E+02,4.189140E-02,6.433247E-02
01:00:00,0.000000E+00,1.414788E+04,0.000000E+00,9.972726E-01,0.000000E+00,7.201119E+03,0.000000E+00,5.076044E-01,0.000000E+00,6.480699E+03,0.000000E+00,4.568219E-01,3.456734E+03,7.691639E+02,1.389189E-01,5.421428E-02,2.390189E+03,5.069303E+02,9.605603E-02,3.573070E-02,3.528139E+03,8.459749E+02,1.417884E-01,5.962812E-02,2.390185E+03,7.649876E+02,9.605586E-02,5.391915E-02,4.787635E+02,5.595350E+02,1.924478E-02,3.943979E-02,5.009185E+02,5.710634E+02,2.013228E-02,4.025205E-02,5.594877E+02,8.116495E+02,2.248632E-02,5.721020E-02,5.010022E+02,9.557934E+02,2.013564E-02,6.736969E-02,1.509996E+03,9.658338E+02,6.068624E-02,6.807671E-02,1.141844E+03,6.377171E+02,4.588999E-02,4.494929E-02,1.573456E+03,1.050698E+03,6.323662E-02,7.405823E-02,1.141895E+03,9.064674E+02,4.589203E-02,6.389158E-02
01:15:00,0.000000E+00,1.426774E+04,0.000000E+00,1.005717E+00,0.000000E+00,7.325411E+03,0.000000E+00,5.163642E-01,0.000000E+00,6.564436E+03,0.000000E+00,4.627233E-01,3.597777E+03,7.593530E+02,1.445856E-01,5.352249E-02,2.483693E+03,4.996379E+02,9.981264E-02,3.521652E-02,3.669818E+03,8.342522E+02,1.474806E-01,5.880156E-02,2.483688E+03,7.473971E+02,9.981242E-02,5.267904E-02,5.707190E+02,5.537119E+02,2.293767E-02,3.902922E-02,5.532731E+02,5.660767E+02,2.223635E-02,3.990040E-02,6.411834E+02,8.048134E+02,2.576965E-02,5.672813E-02,5.533639E+02,9.422079E+02,2.224000E-02,6.641183E-02,1.624245E+03,9.674521E+02,6.527734E-02,6.819042E-02,1.220062E+03,6.376112E+02,4.903306E-02,4.494159E-02,1.688637E+03,1.050306E+03,6.786512E-02,7.403022E-02,1.220114E+03,8.955862E+02,4.903515E-02,6.312430E-02
01:30:00,0.000000E+00,1.437461E+04,0.000000E+00,1.013246E+00,0.000000E+00,7.434091E+03,0.000000E+00,5.240236E-01,0.000000E+00,6.632549E+03,0.000000E+00,4.675234E-01,3.727122E+03,7.460974E+02,1.497826E-01,5.258798E-02,2.570239E+03,4.900319E+02,1.032900E-01,3.453931E-02,3.800224E+03,8.189922E+02,1.527203E-01,5.772574E-02,2.570233E+03,7.278405E+02,1.032897E-01,5.130042E-02,6.695057E+02,5.455399E+02,2.690790E-02,3.845309E-02,6.210673E+02,5.592238E+02,2.496095E-02,3.941723E-02,7.440729E+02,7.952188E+02,2.990476E-02,5.605166E-02,6.211523E+02,9.265838E+02,2.496436E-02,6.531033E-02,1.726143E+03,9.653396E+02,6.937211E-02,6.804122E-02,1.282562E+03,6.348927E+02,5.154450E-02,4.474978E-02,1.788597E+03,1.045996E+03,7.188194E-02,7.372607E-02,1.282611E+03,8.823810E+02,5.154646E-02,6.219330E-02
01:45:00,0.000000E+00,1.449204E+04,0.000000E+00,1.021521E+00,0.000000E+00,7.550052E+03,0.000000E+00,5.321961E-01,0.000000E+00,6.706978E+03,0.000000E+00,4.727686E-01,3.846301E+03,7.342213E+02,1.545713E-01,5.175074E-02,2.648559E+03,4.811386E+02,1.064370E-01,3.391237E-02,3.919336E+03,8.051048E+02,1.575064E-01,5.674672E-02,2.648551E+03,7.092629E+02,1.064367E-01,4.999086E-02,7.578737E+02,5.398871E+02,3.045936E-02,3.805455E-02,6.742997E+02,5.536281E+02,2.710026E-02,3.902269E-02,8.292748E+02,7.878833E+02,3.332896E-02,5.553444E-02,6.743827E+02,9.123801E+02,2.710360E-02,6.430899E-02,1.812297E+03,9.645204E+02,7.283407E-02,6.798322E-02,1.336595E+03,6.328207E+02,5.371564E-02,4.460357E-02,1.873687E+03,1.042873E+03,7.530116E-02,7.350568E-02,1.336642E+03,8.700690E+02,5.371753E-02,6.132530E-02
02:00:00,0.000000E+00,1.460264E+04,0.000000E+00,1.029314E+00,0.000000E+00,7.657353E+03,0.000000E+00,5.397581E-01,0.000000E+00,6.772193E+03,0.000000E+00,4.773644E-01,3.955891E+03,7.205164E+02,1.589749E-01,5.078463E-02,2.720627E+03,4.709522E+02,1.093328E-01,3.319431E-02,4.028978E+03,7.896125E+02,1.619120E-01,5.565460E-02,2.720618E+03,6.898931E+02,1.093325E-01,4.862550E-02,8.330641E+02,5.333286E+02,3.348118E-02,3.759218E-02,7.218176E+02,5.472201E+02,2.900991E-02,3.857091E-02,9.037036E+02,7.794579E+02,3.632015E-02,5.494042E-02,7.218988E+02,8.976147E+02,2.901317E-02,6.326808E-02,1.888419E+03,9.617416E+02,7.589289E-02,6.778712E-02,1.384105E+03,6.293840E+02,5.562466E-02,4.436119E-02,1.948903E+03,1.037886E+03,7.832352E-02,7.315395E-02,1.384150E+03,8.569480E+02,5.562649E-02,6.040031E-02
02:15:00,0.000000E+00,1.470803E+04,0.000000E+00,1.036740E+00,0.000000E+00,7.757969E+03,0.000000E+00,5.468491E-01,0.000000E+00,6.830017E+03,0.000000E+00,4.814392E-01,4.058233E+03,7.063586E+02,1.630873E-01,4.978662E-02,2.787960E+03,4.604028E+02,1.120385E-01,3.245069E-02,4.131399E+03,7.735006E+02,1.660276E-01,5.451884E-02,2.787949E+03,6.704400E+02,1.120381E-01,4.725429E-02,9.014950E+02,5.267017E+02,3.623132E-02,3.712499E-02,7.649366E+02,5.406044E+02,3.074275E-02,3.810451E-02,9.713568E+02,7.708065E+02,3.903902E-02,5.433048E-02,7.650162E+02,8.829611E+02,3.074595E-02,6.223508E-02,1.957215E+03,9.584275E+02,7.865727E-02,6.755333E-02,1.426771E+03,6.255528E+02,5.733902E-02,4.409102E-02,2.016852E+03,1.032168E+03,8.105389E-02,7.275069E-02,1.426815E+03,8.438433E+02,5.734078E-02,5.947650E-02
02:30:00,0.000000E+00,1.480915E+04,0.000000E+00,1.043866E+00,0.000000E+00,7.852756E+03,0.000000E+00,5.535292E-01,0.000000E+00,6.881702E+03,0.000000E+00,4.850814E-01,4.155058E+03,6.919978E+02,1.669781E-01,4.877434E-02,2.851914E+03,4.496599E+02,1.146085E-01,3.169344E-02,4.228391E+03,7.573101E+02,1.699252E-01,5.337759E-02,2.851903E+03,6.512355E+02,1.146081E-01,4.590065E-02,9.646147E+02,5.203377E+02,3.876799E-02,3.667635E-02,8.046440E+02,5.340527E+02,3.233847E-02,3.764262E-02,1.033791E+03,7.622972E+02,4.154814E-02,5.373059E-02,8.047222E+02,8.687581E+02,3.234161E-02,6.123387E-02,2.020029E+03,9.549738E+02,8.118130E-02,6.730972E-02,1.465420E+03,6.216111E+02,5.889200E-02,4.381309E-02,2.078850E+03,1.026250E+03,8.354508E-02,7.233337E-02,1.465463E+03,8.311790E+02,5.889370E-02,5.858377E-02
