hour_of_year,ElectricEquipment_fraction
1,0.595064
2,0.546824
3,0.537634
4,0.527952
5,0.510858
6,0.567875
7,0.658376
8,0.713446
9,0.643403
10,0.577802
11,0.583229
12,0.577107
13,0.565562
14,0.580106
15,0.597498
16,0.622933
17,0.721592
18,0.864277
19,0.948167
20,0.983653
21,1.0
22,0.966532
23,0.833194
24,0.718759
25,0.593705
26,0.545993
27,0.537125
28,0.527573
29,0.510214
30,0.566738
31,0.655956
32,0.708757
33,0.63594
34,0.568708
35,0.57415
36,0.568675
37,0.558006
38,0.57301
39,0.59132
40,0.617121
41,0.7157
42,0.858125
43,0.940862
44,0.975578
45,0.992552
46,0.959906
47,0.828471
48,0.715991
49,0.593705
50,0.545993
51,0.537125
52,0.527573
53,0.510214
54,0.566738
55,0.655956
56,0.708757
57,0.63594
58,0.568708
59,0.57415
60,0.568675
61,0.558006
62,0.57301
63,0.59132
64,0.617121
65,0.7157
66,0.858125
67,0.940862
68,0.975578
69,0.992552
70,0.959906
71,0.828471
72,0.715991
73,0.593705
74,0.545993
75,0.537125
76,0.527573
77,0.510214
78,0.566738
79,0.655956
80,0.708757
81,0.63594
82,0.568708
83,0.57415
84,0.568675
85,0.558006
86,0.57301
87,0.59132
88,0.617121
89,0.7157
90,0.858125
91,0.940862
92,0.975578
93,0.992552
94,0.959906
95,0.828471
96,0.715991
97,0.593705
98,0.545993
99,0.537125
100,0.527573
101,0.510214
102,0.566738
103,0.655956
104,0.708757
105,0.63594
106,0.568708
107,0.57415
108,0.568675
109,0.558006
110,0.57301
111,0.59132
112,0.617121
113,0.7157
114,0.858125
115,0.940862
116,0.975578
117,0.992552
118,0.959906
119,0.828471
120,0.715991
121,0.593705
122,0.545993
123,0.537125
124,0.527573
125,0.510214
126,0.566738
127,0.655956
128,0.708757
129,0.63594
130,0.568708
131,0.57415
132,0.568675
133,0.558006
134,0.57301
135,0.59132
136,0.617121
137,0.7157
138,0.858125
139,0.940862
140,0.975578
141,0.992552
142,0.959906
143,0.828471
144,0.715991
145,0.595064
146,0.546824
147,0.537634
148,0.527952
149,0.510858
150,0.567875
151,0.658376
152,0.713446
153,0.643403
154,0.577802
155,0.583229
156,0.577107
157,0.565562
158,0.580106
159,0.597498
160,0.622933
161,0.721592
162,0.864277
163,0.948167
164,0.983653
165,1.0
166,0.966532
167,0.833194
168,0.718759
169,0.595064
170,0.546824
171,0.537634
172,0.527952
173,0.510858
174,0.567875
175,0.658376
176,0.713446
177,0.643403
178,0.577802
179,0.583229
180,0.577107
181,0.565562
182,0.580106
183,0.597498
184,0.622933
185,0.721592
186,0.864277
187,0.948167
188,0.983653
189,1.0
190,0.966532
191,0.833194
192,0.718759
193,0.593705
194,0.545993
195,0.537125
196,0.527573
197,0.510214
198,0.566738
199,0.655956
200,0.708757
201,0.63594
202,0.568708
203,0.57415
204,0.568675
205,0.558006
206,0.57301
207,0.59132
208,0.617121
209,0.7157
210,0.858125
211,0.940862
212,0.975578
213,0.992552
214,0.959906
215,0.828471
216,0.715991
217,0.593705
218,0.545993
219,0.537125
220,0.527573
221,0.510214
222,0.566738
223,0.655956
224,0.708757
225,0.63594
226,0.568708
227,0.57415
228,0.568675
229,0.558006
230,0.57301
231,0.59132
232,0.617121
233,0.7157
234,0.858125
235,0.940862
236,0.975578
237,0.992552
238,0.959906
239,0.828471
240,0.715991
241,0.593705
242,0.545993
243,0.537125
244,0.527573
245,0.510214
246,0.566738
247,0.655956
248,0.708757
249,0.63594
250,0.568708
251,0.57415
252,0.568675
253,0.558006
254,0.57301
255,0.59132
256,0.617121
257,0.7157
258,0.858125
259,0.940862
260,0.975578
261,0.992552
262,0.959906
263,0.828471
264,0.715991
265,0.593705
266,0.545993
267,0.537125
268,0.527573
269,0.510214
270,0.566738
271,0.655956
272,0.708757
273,0.63594
274,0.568708
275,0.57415
276,0.568675
277,0.558006
278,0.57301
279,0.59132
280,0.617121
281,0.7157
282,0.858125
283,0.940862
284,0.975578
285,0.992552
286,0.959906
287,0.828471
288,0.715991
289,0.593705
290,0.545993
291,0.537125
292,0.527573
293,0.510214
294,0.566738
295,0.655956
296,0.708757
297,0.63594
298,0.568708
299,0.57415
300,0.568675
301,0.558006
302,0.57301
303,0.59132
304,0.617121
305,0.7157
306,0.858125
307,0.940862
308,0.975578
309,0.992552
310,0.959906
311,0.828471
312,0.715991
313,0.595064
314,0.546824
315,0.537634
316,0.527952
317,0.510858
318,0.567875
319,0.658376
320,0.713446
321,0.643403
322,0.577802
323,0.583229
324,0.577107
325,0.565562
326,0.580106
327,0.597498
328,0.622933
329,0.721592
330,0.864277
331,0.948167
332,0.983653
333,1.0
334,0.966532
335,0.833194
336,0.718759
337,0.595064
338,0.546824
339,0.537634
340,0.527952
341,0.510858
342,0.567875
343,0.658376
344,0.713446
345,0.643403
346,0.577802
347,0.583229
348,0.577107
349,0.565562
350,0.580106
351,0.597498
352,0.622933
353,0.721592
354,0.864277
355,0.948167
356,0.983653
357,1.0
358,0.966532
359,0.833194
360,0.718759
361,0.593705
362,0.545993
363,0.537125
364,0.527573
365,0.510214
366,0.566738
367,0.655956
368,0.708757
369,0.63594
370,0.568708
371,0.57415
372,0.568675
373,0.558006
374,0.57301
375,0.59132
376,0.617121
377,0.7157
378,0.858125
379,0.940862
380,0.975578
381,0.992552
382,0.959906
383,0.828471
384,0.715991
385,0.593705
386,0.545993
387,0.537125
388,0.527573
389,0.510214
390,0.566738
391,0.655956
392,0.708757
393,0.63594
394,0.568708
395,0.57415
396,0.568675
397,0.558006
398,0.57301
399,0.59132
400,0.617121
401,0.7157
402,0.858125
403,0.940862
404,0.975578
405,0.992552
406,0.959906
407,0.828471
408,0.715991
409,0.593705
410,0.545993
411,0.537125
412,0.527573
413,0.510214
414,0.566738
415,0.655956
416,0.708757
417,0.63594
418,0.568708
419,0.57415
420,0.568675
421,0.558006
422,0.57301
423,0.59132
424,0.617121
425,0.7157
426,0.858125
427,0.940862
428,0.975578
429,0.992552
430,0.959906
431,0.828471
432,0.715991
433,0.593705
434,0.545993
435,0.537125
436,0.527573
437,0.510214
438,0.566738
439,0.655956
440,0.708757
441,0.63594
442,0.568708
443,0.57415
444,0.568675
445,0.558006
446,0.57301
447,0.59132
448,0.617121
449,0.7157
450,0.858125
451,0.940862
452,0.975578
453,0.992552
454,0.959906
455,0.828471
456,0.715991
457,0.593705
458,0.545993
459,0.537125
460,0.527573
461,0.510214
462,0.566738
463,0.655956
464,0.708757
465,0.63594
466,0.568708
467,0.57415
468,0.568675
469,0.558006
470,0.57301
471,0.59132
472,0.617121
473,0.7157
474,0.858125
475,0.940862
476,0.975578
477,0.992552
478,0.959906
479,0.828471
480,0.715991
481,0.595064
482,0.546824
483,0.537634
484,0.527952
485,0.510858
486,0.567875
487,0.658376
488,0.713446
489,0.643403
490,0.577802
491,0.583229
492,0.577107
493,0.565562
494,0.580106
495,0.597498
496,0.622933
497,0.721592
498,0.864277
499,0.948167
500,0.983653
501,1.0
502,0.966532
503,0.833194
504,0.718759
505,0.595064
506,0.546824
507,0.537634
508,0.527952
509,0.510858
510,0.567875
511,0.658376
512,0.713446
513,0.643403
514,0.577802
515,0.583229
516,0.577107
517,0.565562
518,0.580106
519,0.597498
520,0.622933
521,0.721592
522,0.864277
523,0.948167
524,0.983653
525,1.0
526,0.966532
527,0.833194
528,0.718759
529,0.593705
530,0.545993
531,0.537125
532,0.527573
533,0.510214
534,0.566738
535,0.655956
536,0.708757
537,0.63594
538,0.568708
539,0.57415
540,0.568675
541,0.558006
542,0.57301
543,0.59132
544,0.617121
545,0.7157
546,0.858125
547,0.940862
548,0.975578
549,0.992552
550,0.959906
551,0.828471
552,0.715991
553,0.593705
554,0.545993
555,0.537125
556,0.527573
557,0.510214
558,0.566738
559,0.655956
560,0.708757
561,0.63594
562,0.568708
563,0.57415
564,0.568675
565,0.558006
566,0.57301
567,0.59132
568,0.617121
569,0.7157
570,0.858125
571,0.940862
572,0.975578
573,0.992552
574,0.959906
575,0.828471
576,0.715991
577,0.593705
578,0.545993
579,0.537125
580,0.527573
581,0.510214
582,0.566738
583,0.655956
584,0.708757
585,0.63594
586,0.568708
587,0.57415
588,0.568675
589,0.558006
590,0.57301
591,0.59132
592,0.617121
593,0.7157
594,0.858125
595,0.940862
596,0.975578
597,0.992552
598,0.959906
