hour_of_year,ElectricEquipment_fraction
599,0.828471
600,0.715991
601,0.593705
602,0.545993
603,0.537125
604,0.527573
605,0.510214
606,0.566738
607,0.655956
608,0.708757
609,0.63594
610,0.568708
611,0.57415
612,0.568675
613,0.558006
614,0.57301
615,0.59132
616,0.617121
617,0.7157
618,0.858125
619,0.940862
620,0.975578
621,0.992552
622,0.959906
623,0.828471
624,0.715991
625,0.593705
626,0.545993
627,0.537125
628,0.527573
629,0.510214
630,0.566738
631,0.655956
632,0.708757
633,0.63594
634,0.568708
635,0.57415
636,0.568675
637,0.558006
638,0.57301
639,0.59132
640,0.617121
641,0.7157
642,0.858125
643,0.940862
644,0.975578
645,0.992552
646,0.959906
647,0.828471
648,0.715991
649,0.595064
650,0.546824
651,0.537634
652,0.527952
653,0.510858
654,0.567875
655,0.658376
656,0.713446
657,0.643403
658,0.577802
659,0.583229
660,0.577107
661,0.565562
662,0.580106
663,0.597498
664,0.622933
665,0.721592
666,0.864277
667,0.948167
668,0.983653
669,1.0
670,0.966532
671,0.833194
672,0.718759
673,0.595064
674,0.546824
675,0.537634
676,0.527952
677,0.510858
678,0.567875
679,0.658376
680,0.713446
681,0.643403
682,0.577802
683,0.583229
684,0.577107
685,0.565562
686,0.580106
687,0.597498
688,0.622933
689,0.721592
690,0.864277
691,0.948167
692,0.983653
693,1.0
694,0.966532
695,0.833194
696,0.718759
697,0.593705
698,0.545993
699,0.537125
700,0.527573
701,0.510214
702,0.566738
703,0.655956
704,0.708757
705,0.63594
706,0.568708
707,0.57415
708,0.568675
709,0.558006
710,0.57301
711,0.59132
712,0.617121
713,0.7157
714,0.858125
715,0.940862
716,0.975578
717,0.992552
718,0.959906
719,0.828471
720,0.715991
721,0.593705
722,0.545993
723,0.537125
724,0.527573
725,0.510214
726,0.566738
727,0.655956
728,0.708757
729,0.63594
730,0.568708
731,0.57415
732,0.568675
733,0.558006
734,0.57301
735,0.59132
736,0.617121
737,0.7157
738,0.858125
739,0.940862
740,0.975578
741,0.992552
742,0.959906
743,0.828471
744,0.715991
745,0.593705
746,0.545993
747,0.537125
748,0.527573
749,0.510214
750,0.566738
751,0.655956
752,0.708757
753,0.63594
754,0.568708
755,0.57415
756,0.568675
757,0.558006
758,0.57301
759,0.59132
760,0.617121
761,0.7157
762,0.858125
763,0.940862
764,0.975578
765,0.992552
766,0.959906
767,0.828471
768,0.715991
769,0.593705
770,0.545993
771,0.537125
772,0.527573
773,0.510214
774,0.566738
775,0.655956
776,0.708757
777,0.63594
778,0.568708
779,0.57415
780,0.568675
781,0.558006
782,0.57301
783,0.59132
784,0.617121
785,0.7157
786,0.858125
787,0.940862
788,0.975578
789,0.992552
790,0.959906
791,0.828471
792,0.715991
793,0.593705
794,0.545993
795,0.537125
796,0.527573
797,0.510214
798,0.566738
799,0.655956
800,0.708757
801,0.63594
802,0.568708
803,0.57415
804,0.568675
805,0.558006
806,0.57301
807,0.59132
808,0.617121
809,0.7157
810,0.858125
811,0.940862
812,0.975578
813,0.992552
814,0.959906
815,0.828471
816,0.715991
817,0.595064
818,0.546824
819,0.537634
820,0.527952
821,0.510858
822,0.567875
823,0.658376
824,0.713446
825,0.643403
826,0.577802
827,0.583229
828,0.577107
829,0.565562
830,0.580106
831,0.597498
832,0.622933
833,0.721592
834,0.864277
835,0.948167
836,0.983653
837,1.0
838,0.966532
839,0.833194
840,0.718759
841,0.595064
842,0.546824
843,0.537634
844,0.527952
845,0.510858
846,0.567875
847,0.658376
848,0.713446
849,0.643403
850,0.577802
851,0.583229
852,0.577107
853,0.565562
854,0.580106
855,0.597498
856,0.622933
857,0.721592
858,0.864277
859,0.948167
860,0.983653
861,1.0
862,0.966532
863,0.833194
864,0.718759
865,0.593705
866,0.545993
867,0.537125
868,0.527573
869,0.510214
870,0.566738
871,0.655956
872,0.708757
873,0.63594
874,0.568708
875,0.57415
876,0.568675
877,0.558006
878,0.57301
879,0.59132
880,0.617121
881,0.7157
882,0.858125
883,0.940862
884,0.975578
885,0.992552
886,0.959906
887,0.828471
888,0.715991
889,0.593705
890,0.545993
891,0.537125
892,0.527573
893,0.510214
894,0.566738
895,0.655956
896,0.708757
897,0.63594
898,0.568708
899,0.57415
900,0.568675
901,0.558006
902,0.57301
903,0.59132
904,0.617121
905,0.7157
906,0.858125
907,0.940862
908,0.975578
909,0.992552
910,0.959906
911,0.828471
912,0.715991
913,0.593705
914,0.545993
915,0.537125
916,0.527573
917,0.510214
918,0.566738
919,0.655956
920,0.708757
921,0.63594
922,0.568708
923,0.57415
924,0.568675
925,0.558006
926,0.57301
927,0.59132
928,0.617121
929,0.7157
930,0.858125
931,0.940862
932,0.975578
933,0.992552
934,0.959906
935,0.828471
936,0.715991
937,0.593705
938,0.545993
939,0.537125
940,0.527573
941,0.510214
942,0.566738
943,0.655956
944,0.708757
945,0.63594
946,0.568708
947,0.57415
948,0.568675
949,0.558006
950,0.57301
951,0.59132
952,0.617121
953,0.7157
954,0.858125
955,0.940862
956,0.975578
957,0.992552
958,0.959906
959,0.828471
960,0.715991
961,0.593705
962,0.545993
963,0.537125
964,0.527573
965,0.510214
966,0.566738
967,0.655956
968,0.708757
969,0.63594
970,0.568708
971,0.57415
972,0.568675
973,0.558006
974,0.57301
975,0.59132
976,0.617121
977,0.7157
978,0.858125
979,0.940862
980,0.975578
981,0.992552
982,0.959906
983,0.828471
984,0.715991
985,0.595064
986,0.546824
987,0.537634
988,0.527952
989,0.510858
990,0.567875
991,0.658376
992,0.713446
993,0.643403
994,0.577802
995,0.583229
996,0.577107
997,0.565562
998,0.580106
999,0.597498
1000,0.622933
1001,0.721592
1002,0.864277
1003,0.948167
1004,0.983653
1005,1.0
1006,0.966532
1007,0.833194
1008,0.718759
1009,0.595064
1010,0.546824
1011,0.537634
1012,0.527952
1013,0.510858
1014,0.567875
1015,0.658376
1016,0.713446
1017,0.643403
1018,0.577802
1019,0.583229
1020,0.577107
1021,0.565562
1022,0.580106
1023,0.597498
1024,0.622933
1025,0.721592
1026,0.864277
1027,0.948167
1028,0.983653
1029,1.0
1030,0.966532
1031,0.833194
1032,0.718759
1033,0.593705
1034,0.545993
1035,0.537125
1036,0.527573
1037,0.510214
1038,0.566738
1039,0.655956
1040,0.708757
1041,0.63594
1042,0.568708
1043,0.57415
1044,0.568675
1045,0.558006
1046,0.57301
1047,0.59132
1048,0.617121
1049,0.7157
1050,0.858125
1051,0.940862
1052,0.975578
1053,0.992552
1054,0.959906
1055,0.828471
1056,0.715991
1057,0.593705
1058,0.545993
1059,0.537125
1060,0.527573
1061,0.510214
1062,0.566738
1063,0.655956
1064,0.708757
1065,0.63594
1066,0.568708
1067,0.57415
1068,0.568675
1069,0.558006
1070,0.57301
1071,0.59132
1072,0.617121
1073,0.7157
1074,0.858125
1075,0.940862
1076,0.975578
1077,0.992552
1078,0.959906
1079,0.828471
1080,0.715991
1081,0.593705
1082,0.545993
1083,0.537125
1084,0.527573
1085,0.510214
1086,0.566738
1087,0.655956
1088,0.708757
1089,0.63594
1090,0.568708
1091,0.57415
1092,0.568675
1093,0.558006
1094,0.57301
1095,0.59132
1096,0.617121
1097,0.7157
1098,0.858125
1099,0.940862
1100,0.975578
1101,0.992552
1102,0.959906
1103,0.828471
1104,0.715991
1105,0.593705
1106,0.545993
1107,0.537125
1108,0.527573
1109,0.510214
1110,0.566738
1111,0.655956
1112,0.708757
1113,0.63594
1114,0.568708
1115,0.57415
1116,0.568675
1117,0.558006
1118,0.57301
1119,0.59132
1120,0.617121
1121,0.7157
1122,0.858125
1123,0.940862
1124,0.975578
1125,0.992552
1126,0.959906
1127,0.828471
1128,0.715991
1129,0.593705
1130,0.545993
1131,0.537125
1132,0.527573
1133,0.510214
1134,0.566738
1135,0.655956
1136,0.708757
1137,0.63594
1138,0.568708
1139,0.57415
1140,0.568675
1141,0.558006
1142,0.57301
1143,0.59132
1144,0.617121
1145,0.7157
1146,0.858125
1147,0.940862
1148,0.975578
1149,0.992552
1150,0.959906
1151,0.828471
1152,0.715991
1153,0.595064
1154,0.546824
1155,0.537634
1156,0.527952
1157,0.510858
1158,0.567875
1159,0.658376
1160,0.713446
1161,0.643403
1162,0.577802
1163,0.583229
1164,0.577107
1165,0.565562
1166,0.580106
1167,0.597498
1168,0.622933
1169,0.721592
1170,0.864277
1171,0.948167
1172,0.983653
1173,1.0
1174,0.966532
1175,0.833194
1176,0.718759
1177,0.595064
1178,0.546824
1179,0.537634
1180,0.527952
1181,0.510858
1182,0.567875
1183,0.658376
1184,0.713446
1185,0.643403
1186,0.577802
1187,0.583229
1188,0.577107
1189,0.565562
1190,0.580106
1191,0.597498
1192,0.622933
1193,0.721592
1194,0.864277
1195,0.948167
1196,0.983653
1197,1.0
1198,0.966532
1199,0.833194
1200,0.718759
1201,0.593705
1202,0.545993
1203,0.537125
1204,0.527573
1205,0.510214
1206,0.566738
1207,0.655956
1208,0.708757
1209,0.63594
1210,0.568708
1211,0.57415
1212,0.568675
1213,0.558006
1214,0.57301
1215,0.59132
1216,0.617121
1217,0.7157
1218,0.858125
1219,0.940862
1220,0.975578
1221,0.992552
1222,0.959906
1223,0.828471
1224,0.715991
1225,0.593705
1226,0.545993
1227,0.537125
1228,0.527573
1229,0.510214
1230,0.566738
1231,0.655956
1232,0.708757
1233,0.63594
1234,0.568708
1235,0.57415
1236,0.568675
1237,0.558006
1238,0.57301
1239,0.59132
1240,0.617121
1241,0.7157
1242,0.858125
1243,0.940862
1244,0.975578
1245,0.992552
1246,0.959906
1247,0.828471
1248,0.715991
1249,0.593705
1250,0.545993
1251,0.537125
1252,0.527573
1253,0.510214
1254,0.566738
1255,0.655956
1256,0.708757
1257,0.63594
1258,0.568708
1259,0.57415
1260,0.568675
1261,0.558006
1262,0.57301
1263,0.59132
1264,0.617121
1265,0.7157
1266,0.858125
1267,0.940862
1268,0.975578
1269,0.992552
1270,0.959906
1271,0.828471
1272,0.715991
1273,0.593705
1274,0.545993
1275,0.537125
1276,0.527573
1277,0.510214
1278,0.566738
1279,0.655956
1280,0.708757
1281,0.63594
1282,0.568708
1283,0.57415
1284,0.568675
1285,0.558006
1286,0.57301
1287,0.59132
1288,0.617121
1289,0.7157
1290,0.858125
1291,0.940862
1292,0.975578
1293,0.992552
1294,0.959906
1295,0.828471
1296,0.715991
1297,0.593705
1298,0.545993
1299,0.537125
1300,0.527573
1301,0.510214
1302,0.566738
1303,0.655956
1304,0.708757
1305,0.63594
1306,0.568708
1307,0.57415
1308,0.568675
1309,0.558006
1310,0.57301
1311,0.59132
1312,0.617121
1313,0.7157
1314,0.858125
1315,0.940862
1316,0.975578
1317,0.992552
1318,0.959906
1319,0.828471
1320,0.715991
1321,0.595064
1322,0.546824
1323,0.537634
1324,0.527952
1325,0.510858
1326,0.567875
1327,0.658376
1328,0.713446
1329,0.643403
1330,0.577802
1331,0.583229
1332,0.577107
1333,0.565562
1334,0.580106
1335,0.597498
1336,0.622933
1337,0.721592
1338,0.864277
1339,0.948167
1340,0.983653
1341,1.0
1342,0.966532
1343,0.833194
1344,0.718759
1345,0.595064
1346,0.546824
1347,0.537634
1348,0.527952
1349,0.510858
1350,0.567875
1351,0.658376
1352,0.713446
1353,0.643403
1354,0.577802
1355,0.583229
1356,0.577107
1357,0.565562
1358,0.580106
1359,0.597498
1360,0.622933
1361,0.721592
1362,0.864277
1363,0.948167
1364,0.983653
1365,1.0
1366,0.966532
1367,0.833194
1368,0.718759
1369,0.593705
1370,0.545993
1371,0.537125
1372,0.527573
1373,0.510214
1374,0.566738
1375,0.655956
1376,0.708757
1377,0.63594
1378,0.568708
1379,0.57415
1380,0.568675
1381,0.558006
1382,0.57301
1383,0.59132
1384,0.617121
1385,0.7157
1386,0.858125
1387,0.940862
1388,0.975578
1389,0.992552
1390,0.959906
1391,0.828471
1392,0.715991
1393,0.593705
1394,0.545993
1395,0.537125
1396,0.527573
1397,0.510214
1398,0.566738
1399,0.655956
1400,0.708757
1401,0.63594
1402,0.568708
1403,0.57415
1404,0.568675
1405,0.558006
1406,0.57301
1407,0.59132
1408,0.617121
1409,0.7157
1410,0.858125
1411,0.940862
1412,0.975578
1413,0.992552
1414,0.959906
1415,0.828471
1416,0.715991
1417,0.593705
1418,0.545993
1419,0.537125
1420,0.527573
1421,0.510214
1422,0.566738
1423,0.655956
1424,0.708757
1425,0.63594
1426,0.568708
1427,0.57415
1428,0.568675
1429,0.558006
1430,0.57301
1431,0.59132
1432,0.617121
1433,0.7157
1434,0.858125
1435,0.940862
1436,0.975578
1437,0.992552
1438,0.959906
1439,0.828471
1440,0.715991
1441,0.593705
1442,0.545993
1443,0.537125
1444,0.527573
1445,0.510214
1446,0.566738
1447,0.655956
1448,0.708757
1449,0.63594
1450,0.568708
1451,0.57415
1452,0.568675
1453,0.558006
1454,0.57301
1455,0.59132
1456,0.617121
1457,0.7157
1458,0.858125
1459,0.940862
1460,0.975578
1461,0.992552
1462,0.959906
1463,0.828471
1464,0.715991
1465,0.593705
1466,0.545993
1467,0.537125
1468,0.527573
1469,0.510214
1470,0.566738
1471,0.655956
1472,0.708757
1473,0.63594
1474,0.568708
1475,0.57415
1476,0.568675
1477,0.558006
1478,0.57301
1479,0.59132
1480,0.617121
1481,0.7157
1482,0.858125
1483,0.940862
1484,0.975578
1485,0.992552
1486,0.959906
1487,0.828471
1488,0.715991
1489,0.595064
1490,0.546824
1491,0.537634
1492,0.527952
1493,0.510858
1494,0.567875
1495,0.658376
1496,0.713446
1497,0.643403
1498,0.577802
1499,0.583229
1500,0.577107
1501,0.565562
1502,0.580106
1503,0.597498
1504,0.622933
1505,0.721592
1506,0.864277
1507,0.948167
1508,0.983653
1509,1.0
1510,0.966532
1511,0.833194
1512,0.718759
1513,0.595064
1514,0.546824
1515,0.537634
1516,0.527952
1517,0.510858
1518,0.567875
1519,0.658376
1520,0.713446
1521,0.643403
1522,0.577802
1523,0.583229
1524,0.577107
1525,0.565562
1526,0.580106
1527,0.597498
1528,0.622933
1529,0.721592
1530,0.864277
1531,0.948167
1532,0.983653
1533,1.0
1534,0.966532
1535,0.833194
1536,0.718759
1537,0.593705
1538,0.545993
1539,0.537125
1540,0.527573
1541,0.510214
1542,0.566738
1543,0.655956
1544,0.708757
1545,0.63594
1546,0.568708
1547,0.57415
1548,0.568675
1549,0.558006
1550,0.57301
1551,0.59132
1552,0.617121
1553,0.7157
1554,0.858125
1555,0.940862
1556,0.975578
1557,0.992552
1558,0.959906
1559,0.828471
1560,0.715991
1561,0.593705
1562,0.545993
1563,0.537125
1564,0.527573
1565,0.510214
1566,0.566738
1567,0.655956
1568,0.708757
1569,0.63594
1570,0.568708
1571,0.57415
1572,0.568675
1573,0.558006
1574,0.57301
1575,0.59132
1576,0.617121
1577,0.7157
1578,0.858125
1579,0.940862
1580,0.975578
1581,0.992552
1582,0.959906
1583,0.828471
1584,0.715991
1585,0.593705
1586,0.545993
1587,0.537125
1588,0.527573
1589,0.510214
1590,0.566738
1591,0.655956
1592,0.708757
1593,0.63594
1594,0.568708
1595,0.57415
1596,0.568675
1597,0.558006
1598,0.57301
1599,0.59132
1600,0.617121
1601,0.7157
1602,0.858125
1603,0.940862
1604,0.975578
1605,0.992552
1606,0.959906
1607,0.828471
1608,0.715991
1609,0.593705
1610,0.545993
1611,0.537125
1612,0.527573
1613,0.510214
1614,0.566738
1615,0.655956
1616,0.708757
1617,0.63594
1618,0.568708
1619,0.57415
1620,0.568675
1621,0.558006
1622,0.57301
1623,0.59132
1624,0.617121
1625,0.7157
1626,0.858125
1627,0.940862
1628,0.975578
1629,0.992552
1630,0.959906
1631,0.828471
1632,0.715991
1633,0.593705
1634,0.545993
1635,0.537125
1636,0.527573
1637,0.510214
1638,0.566738
1639,0.655956
1640,0.708757
1641,0.63594
1642,0.568708
1643,0.57415
1644,0.568675
1645,0.558006
1646,0.57301
1647,0.59132
1648,0.617121
1649,0.7157
1650,0.858125
1651,0.940862
1652,0.975578
1653,0.992552
1654,0.959906
1655,0.828471
1656,0.715991
1657,0.595064
1658,0.546824
1659,0.537634
1660,0.527952
1661,0.510858
1662,0.567875
1663,0.658376
1664,0.713446
1665,0.643403
1666,0.577802
1667,0.583229
1668,0.577107
1669,0.565562
1670,0.580106
1671,0.597498
1672,0.622933
1673,0.721592
1674,0.864277
1675,0.948167
1676,0.983653
1677,1.0
1678,0.966532
1679,0.833194
1680,0.718759
1681,0.595064
1682,0.546824
1683,0.537634
1684,0.527952
1685,0.510858
1686,0.567875
1687,0.658376
1688,0.713446
1689,0.643403
1690,0.577802
1691,0.583229
1692,0.577107
1693,0.565562
1694,0.580106
1695,0.597498
1696,0.622933
1697,0.721592
1698,0.864277
1699,0.948167
1700,0.983653
1701,1.0
1702,0.966532
1703,0.833194
1704,0.718759
1705,0.593705
1706,0.545993
1707,0.537125
1708,0.527573
1709,0.510214
1710,0.566738
1711,0.655956
1712,0.708757
1713,0.63594
1714,0.568708
1715,0.57415
1716,0.568675
1717,0.558006
1718,0.57301
1719,0.59132
1720,0.617121
1721,0.7157
1722,0.858125
1723,0.940862
1724,0.975578
1725,0.992552
1726,0.959906
1727,0.828471
1728,0.715991
1729,0.593705
1730,0.545993
1731,0.537125
1732,0.527573
1733,0.510214
1734,0.566738
1735,0.655956
1736,0.708757
1737,0.63594
1738,0.568708
1739,0.57415
1740,0.568675
1741,0.558006
1742,0.57301
1743,0.59132
1744,0.617121
1745,0.7157
1746,0.858125
1747,0.940862
1748,0.975578
1749,0.992552
1750,0.959906
1751,0.828471
1752,0.715991
1753,0.593705
1754,0.545993
1755,0.537125
1756,0.527573
1757,0.510214
1758,0.566738
1759,0.655956
1760,0.708757
1761,0.63594
1762,0.568708
1763,0.57415
1764,0.568675
1765,0.558006
1766,0.57301
1767,0.59132
1768,0.617121
1769,0.7157
1770,0.858125
1771,0.940862
1772,0.975578
1773,0.992552
1774,0.959906
1775,0.828471
1776,0.715991
1777,0.593705
1778,0.545993
1779,0.537125
1780,0.527573
1781,0.510214
1782,0.566738
1783,0.655956
1784,0.708757
1785,0.63594
1786,0.568708
1787,0.57415
1788,0.568675
1789,0.558006
1790,0.57301
1791,0.59132
1792,0.617121
1793,0.7157
1794,0.858125
1795,0.940862
1796,0.975578
1797,0.992552
1798,0.959906
1799,0.828471
1800,0.715991
1801,0.593705
1802,0.545993
1803,0.537125
1804,0.527573
1805,0.510214
1806,0.566738
1807,0.655956
1808,0.708757
1809,0.63594
1810,0.568708
1811,0.57415
1812,0.568675
1813,0.558006
1814,0.57301
1815,0.59132
1816,0.617121
1817,0.7157
1818,0.858125
1819,0.940862
1820,0.975578
1821,0.992552
1822,0.959906
1823,0.828471
1824,0.715991
1825,0.595064
1826,0.546824
1827,0.537634
1828,0.527952
1829,0.510858
1830,0.567875
1831,0.658376
1832,0.713446
1833,0.643403
1834,0.577802
1835,0.583229
1836,0.577107
1837,0.565562
1838,0.580106
1839,0.597498
1840,0.622933
1841,0.721592
1842,0.864277
1843,0.948167
1844,0.983653
1845,1.0
1846,0.966532
1847,0.833194
1848,0.718759
1849,0.595064
1850,0.546824
1851,0.537634
1852,0.527952
1853,0.510858
1854,0.567875
1855,0.658376
1856,0.713446
1857,0.643403
1858,0.577802
1859,0.583229
1860,0.577107
1861,0.565562
1862,0.580106
1863,0.597498
1864,0.622933
1865,0.721592
1866,0.864277
1867,0.948167
1868,0.983653
1869,1.0
1870,0.966532
1871,0.833194
1872,0.718759
